function_name,timestamp,PID,CPU,RAM
avg,2021-03-22 10:27:39.802523,4017,0.0,0.0
avg,2021-03-22 10:27:39.802523,4018,0.0,0.0
avg,2021-03-22 10:27:39.802523,4019,0.0,0.0
avg,2021-03-22 10:27:39.802523,4020,0.0,0.0
avg,2021-03-22 10:27:39.962108,3902,0.0,0.1
avg,2021-03-22 10:27:39.962108,4016,0.0,0.0
avg,2021-03-22 10:27:39.962108,4017,0.0,0.0
avg,2021-03-22 10:27:39.962108,4018,0.0,0.0
avg,2021-03-22 10:27:39.962108,4019,0.0,0.0
avg,2021-03-22 10:27:39.962108,4020,0.0,0.0
avg,2021-03-22 10:27:40.119228,3902,0.0,0.1
avg,2021-03-22 10:27:40.119228,4016,0.0,0.0
avg,2021-03-22 10:27:40.119228,4017,0.0,0.0
avg,2021-03-22 10:27:40.119228,4018,0.0,0.0
avg,2021-03-22 10:27:40.119228,4019,0.0,0.0
avg,2021-03-22 10:27:40.119228,4020,0.0,0.0
avg,2021-03-22 10:27:40.278050,3902,0.0,0.1
avg,2021-03-22 10:27:40.278050,4016,0.0,0.0
avg,2021-03-22 10:27:40.278050,4017,0.0,0.0
avg,2021-03-22 10:27:40.278050,4018,0.0,0.0
avg,2021-03-22 10:27:40.278050,4019,0.0,0.0
avg,2021-03-22 10:27:40.278050,4020,0.0,0.0
avg,2021-03-22 10:27:40.435916,3902,0.0,0.1
avg,2021-03-22 10:27:40.435916,4016,0.0,0.0
avg,2021-03-22 10:27:40.435916,4017,0.0,0.0
avg,2021-03-22 10:27:40.435916,4018,0.0,0.0
avg,2021-03-22 10:27:40.435916,4019,0.0,0.0
avg,2021-03-22 10:27:40.435916,4020,0.0,0.0
avg,2021-03-22 10:27:40.594740,3902,0.0,0.1
avg,2021-03-22 10:27:40.594740,4016,0.0,0.0
avg,2021-03-22 10:27:40.594740,4017,0.0,0.0
avg,2021-03-22 10:27:40.594740,4018,0.0,0.0
avg,2021-03-22 10:27:40.594740,4019,0.0,0.0
avg,2021-03-22 10:27:40.594740,4020,0.0,0.0
avg,2021-03-22 10:27:40.761398,3902,0.0,0.1
avg,2021-03-22 10:27:40.761398,4016,0.0,0.0
avg,2021-03-22 10:27:40.761398,4017,0.0,0.0
avg,2021-03-22 10:27:40.761398,4018,0.0,0.0
avg,2021-03-22 10:27:40.761398,4019,0.0,0.0
avg,2021-03-22 10:27:40.761398,4020,0.0,0.0
